user_name,broker,series_id,qty_open,position_eur,asset_rollup,underlying_symbol,optie_call_put,strike,expiry,ib_currency,exchange_code,trading_class,multiplier,conid,local_symbol,last_verified_ts
onno,degiro,4,-100.0,815.0,ASMI,ASM,put,580.0,2026-03-20,EUR,FTA,ASM,100.0,840478942,ASM P@580 MAR26,2026-03-14 17:59:21
onno,lynx,82,-100.0,433.0,ASMLAEB,ASML,put,1020.0,2026-03-20,EUR,FTA,ASL,100.0,840478420,ASL P@1020 MAR26,2026-03-14 17:59:21
onno,degiro,6,-200.0,106.0,ASR,ASRNL,put,59.0,2026-03-20,EUR,FTA,ASR,100.0,840479316,ASR P@59 MAR26,2026-03-14 17:59:21
onno,degiro,5,-200.0,586.0,ASR,ASRNL,put,60.0,2026-04-17,EUR,FTA,ASR,100.0,847391598,ASR P@60 APR26,2026-03-14 17:59:21
onno,lynx,83,-100.0,233.0,ASTS,ASTS,put,80.0,2026-03-20,USD,SMART,ASTS,100.0,794658115,ASTS  260320P00080000,2026-03-14 17:59:21
onno,interactive,36,-100.0,372.0,BABA,BABA,call,137.0,2026-03-20,USD,SMART,BABA,100.0,861959445,BABA  260320C00137000,2026-03-14 17:59:22
onno,interactive,37,-100.0,2677.0,BABA,BABA,put,160.0,2026-03-20,USD,SMART,BABA,100.0,791532628,BABA  260320P00160000,2026-03-14 17:59:22
onno,degiro,7,-200.0,418.0,BASF,BAS,put,50.0,2026-03-20,EUR,EUREX,BAS,100.0,771013345,P BAS  20260320 50 M,2026-03-14 17:59:22
onno,lynx,84,-400.0,400.0,BAYER,BAYN,call,39.0,2026-03-20,EUR,EUREX,BAY,100.0,840913910,C BAY  20260320 39 M,2026-03-14 17:59:22
onno,lynx,85,-600.0,534.0,BAYER,BAYN,put,39.0,2026-03-20,EUR,EUREX,BAY,100.0,840914191,P BAY  20260320 39 M,2026-03-14 17:59:23
onno,lynx,86,-100.0,380.0,BESI,BESI,put,165.0,2026-03-20,EUR,FTA,BES,100.0,843226552,BES P@165 MAR26,2026-03-14 17:59:23
onno,degiro,8,-100.0,216.6,BESI,BESI,put,150.0,2026-04-17,EUR,FTA,BES,100.0,847392509,BES P@150 APR26,2026-03-14 17:59:23
onno,interactive,38,-100.0,215.0,BHP,BHP,put,70.0,2026-03-20,USD,SMART,BHP,100.0,757641158,BHP   260320P00070000,2026-03-14 17:59:23
onno,interactive,39,-200.0,598.0,BHP,BHP,put,72.5,2026-03-20,USD,SMART,BHP,100.0,843587268,BHP   260320P00072500,2026-03-14 17:59:23
onno,interactive,40,-100.0,460.0,BHP,BHP,put,80.0,2026-03-20,USD,SMART,BHP,100.0,801572807,BHP   260320P00080000,2026-03-14 17:59:24
onno,lynx,87,-200.0,388.0,BMW,BMW,put,81.0,2026-03-20,EUR,EUREX,BMW,100.0,840921281,P BMW  20260320 81 M,2026-03-14 17:59:24
onno,degiro,9,-300.0,880.0,BMW,BMW,put,82.0,2026-03-20,EUR,EUREX,BMW,100.0,840921284,P BMW  20260320 82 M,2026-03-14 17:59:24
onno,lynx,88,-200.0,436.0,BNP,BNP,put,84.0,2026-03-20,EUR,EUREX,BNP,100.0,771021176,P BNP  20260320 84 M,2026-03-14 17:59:24
onno,interactive,41,-200.0,840.0,BNP,BNP,put,89.0,2026-03-20,EUR,EUREX,BNP,100.0,840922370,P BNP  20260320 89 M,2026-03-14 17:59:24
onno,interactive,42,-300.0,2367.0,CAMECO,CCJ,put,117.0,2026-03-20,USD,SMART,CCJ,100.0,857286593,CCJ   260320P00117000,2026-03-14 17:59:25
onno,degiro,10,-100.0,90.0,CSG,CSG1,call,32.0,2026-03-20,EUR,FTA,CSG,100.0,853448893,CSG C@32 MAR26,2026-03-14 18:13:34
onno,degiro,11,-100.0,115.0,CSG,CSG1,put,30.0,2026-03-20,EUR,FTA,CSG,100.0,853448882,CSG P@30 MAR26,2026-03-14 18:13:34
onno,degiro,12,-200.0,608.0,DANONE,BN,call,72.0,2026-03-20,EUR,EUREX,BSN,100.0,771024621,C BSN  20260320 72 M,2026-03-14 17:59:26
onno,interactive,43,-100.0,27.0,DHL,DHL,call,47.0,2026-03-20,EUR,EUREX,DPW,100.0,840944922,C DPW  20260320 47 M,2026-03-14 17:59:26
onno,lynx,43,-200.0,108.0,DHL,DHL,call,47.0,2026-03-20,EUR,EUREX,DPW,100.0,840944922,C DPW  20260320 47 M,2026-03-14 17:59:26
onno,interactive,44,-200.0,476.0,DHL,DHL,put,48.0,2026-03-20,EUR,EUREX,DPW,100.0,771043506,P DPW  20260320 48 M,2026-03-14 17:59:26
onno,lynx,89,-100.0,91.0,FLOW,FLOW,put,26.5,2026-03-20,EUR,FTA,FLW,100.0,841890480,FLW P@26.5 MAR26,2026-03-14 17:59:26
onno,degiro,14,-200.0,404.0,HEINEKEN,HEIA,call,78.0,2026-03-20,EUR,FTA,HEI,100.0,851557662,HEI C@78 MAR26,2026-03-14 17:59:26
onno,lynx,90,-200.0,136.0,HEINEKEN,HEIA,call,80.0,2026-03-20,EUR,FTA,HEI,100.0,770622809,HEI C@80 MAR26,2026-03-14 17:59:26
onno,degiro,15,-100.0,784.0,HEINEKEN,HEIA,put,80.0,2026-03-20,EUR,FTA,HEI,100.0,770622812,HEI P@80 MAR26,2026-03-14 17:59:27
onno,degiro,13,-200.0,1298.0,HEINEKEN,HEIA,put,76.0,2026-04-17,EUR,FTA,HEI,100.0,847397738,HEI P@76 APR26,2026-03-14 17:59:27
onno,interactive,45,-200.0,162.0,INFINEON,IFX,put,40.0,2026-03-20,EUR,EUREX,IFX,100.0,771082010,P IFX  20260320 40 M,2026-03-14 17:59:27
onno,degiro,16,-200.0,288.0,ING,INGA,call,23.83,2026-03-20,EUR,FTA,ING,101.0,770623313,ING C@23.83 MAR26,2026-03-14 17:59:27
onno,lynx,91,-1000.0,350.0,ING,INGA,put,23.34,2026-03-20,EUR,FTA,ING,101.0,840486283,ING P@23.34 MAR26,2026-03-14 17:59:27
